Any,Data,Codi_Postal,Sector_Economic,Tram_Horari,Valor
2023,2023-01-01,08001,Indústria,De 00:00:00 a 05:59:59 h,644
2023,2023-01-01,08001,Indústria,De 06:00:00 a 11:59:59 h,702
2023,2023-01-01,08001,Indústria,De 12:00:00 a 17:59:59 h,783
2023,2023-01-01,08001,Indústria,De 18:00:00 a 23:59:59 h,768
2023,2023-01-01,08001,Indústria,No consta,57
2023,2023-01-01,08001,Residencial,De 00:00:00 a 05:59:59 h,21672
2023,2023-01-01,08001,Residencial,De 06:00:00 a 11:59:59 h,22619
2023,2023-01-01,08001,Residencial,De 12:00:00 a 17:59:59 h,34533
2023,2023-01-01,08001,Residencial,De 18:00:00 a 23:59:59 h,36591
2023,2023-01-01,08001,Residencial,No consta,4932
2023,2023-01-01,08001,Serveis,De 00:00:00 a 05:59:59 h,24460
2023,2023-01-01,08001,Serveis,De 06:00:00 a 11:59:59 h,25851
2023,2023-01-01,08001,Serveis,De 12:00:00 a 17:59:59 h,30661
2023,2023-01-01,08001,Serveis,De 18:00:00 a 23:59:59 h,31849
2023,2023-01-01,08001,Serveis,No consta,1069
2023,2023-01-01,08002,Indústria,De 00:00:00 a 05:59:59 h,637
2023,2023-01-01,08002,Indústria,De 06:00:00 a 11:59:59 h,692
2023,2023-01-01,08002,Indústria,De 12:00:00 a 17:59:59 h,936
2023,2023-01-01,08002,Indústria,De 18:00:00 a 23:59:59 h,938
2023,2023-01-01,08002,Indústria,No consta,38
2023,2023-01-01,08002,Residencial,De 00:00:00 a 05:59:59 h,15708
2023,2023-01-01,08002,Residencial,De 06:00:00 a 11:59:59 h,16081
2023,2023-01-01,08002,Residencial,De 12:00:00 a 17:59:59 h,22887
2023,2023-01-01,08002,Residencial,De 18:00:00 a 23:59:59 h,24840
2023,2023-01-01,08002,Residencial,No consta,2814
2023,2023-01-01,08002,Serveis,De 00:00:00 a 05:59:59 h,38361
2023,2023-01-01,08002,Serveis,De 06:00:00 a 11:59:59 h,39063
2023,2023-01-01,08002,Serveis,De 12:00:00 a 17:59:59 h,45036
2023,2023-01-01,08002,Serveis,De 18:00:00 a 23:59:59 h,48602
2023,2023-01-01,08002,Serveis,No consta,4240
2023,2023-01-01,08003,Indústria,De 00:00:00 a 05:59:59 h,2074
2023,2023-01-01,08003,Indústria,De 06:00:00 a 11:59:59 h,2925
2023,2023-01-01,08003,Indústria,De 12:00:00 a 17:59:59 h,2568
2023,2023-01-01,08003,Indústria,De 18:00:00 a 23:59:59 h,2434
2023,2023-01-01,08003,Indústria,No consta,66
2023,2023-01-01,08003,No especificat,De 00:00:00 a 05:59:59 h,18
2023,2023-01-01,08003,No especificat,De 06:00:00 a 11:59:59 h,17
